                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3292,                 4.0315,                 1.1429,                0.01673,                0.25333,                0.11471,                 0.1003,                0.71904,                 3.8579,                0.89355,              5.454e-05,              5.454e-05,              5.454e-05
                      2,                 1.0001,                 3.6091,                0.98868,                 0.0183,                0.33318,                0.14652,                0.12361,                0.79458,                 3.6583,                0.85059,             0.00011583,             0.00011583,             0.00011583
                      3,                 1.0251,                 2.7015,                0.96447,                0.03945,                0.41681,                0.23605,                0.19727,                0.77886,                 3.4189,                0.84833,              0.0001746,              0.0001746,              0.0001746
                      4,                 1.0167,                 2.2045,                0.96178,                 0.0533,                0.50092,                0.35448,                0.30059,                0.82288,                 3.2609,                0.85358,             0.00023085,             0.00023085,             0.00023085
                      5,                0.96846,                 1.8697,                 0.9443,                0.06495,                0.61054,                0.38894,                0.33007,                0.80881,                  3.161,                0.85993,             0.00028458,             0.00028458,             0.00028458
                      6,                0.95769,                 1.6344,                0.91082,                0.83158,                0.13714,                0.36869,                 0.3186,                0.85628,                 2.9786,                0.87135,             0.00033579,             0.00033579,             0.00033579
                      7,                0.88663,                 1.3608,                 0.8979,                0.84313,                0.27562,                0.44262,                0.38313,                0.86492,                 2.6936,                0.87455,             0.00038449,             0.00038449,             0.00038449
                      8,                 0.9037,                 1.2262,                0.90917,                0.84625,                0.27983,                0.52018,                0.44284,                0.87372,                 2.4624,                0.87592,             0.00043066,             0.00043066,             0.00043066
                      9,                0.83551,                 1.1082,                0.90765,                0.79363,                  0.314,                0.56976,                0.48559,                0.85572,                 1.9824,                 0.8757,             0.00047431,             0.00047431,             0.00047431
                     10,                 0.8465,                 1.0817,                0.89812,                0.66458,                0.32063,                0.56379,                0.45737,                0.88993,                 1.8822,                0.88667,             0.00051544,             0.00051544,             0.00051544
                     11,                0.81313,                 1.0187,                0.90512,                0.60978,                0.42361,                0.51992,                0.43173,                0.85859,                 1.8786,                0.89393,             0.00055405,             0.00055405,             0.00055405
                     12,                0.82663,                 1.0197,                0.89524,                0.48517,                0.56912,                0.58674,                0.49897,                0.89144,                  1.586,                0.89476,             0.00059015,             0.00059015,             0.00059015
                     13,                0.80014,                0.95424,                0.90177,                0.53283,                0.63472,                0.62445,                0.52777,                0.83381,                 1.4665,                0.87368,             0.00062372,             0.00062372,             0.00062372
                     14,                0.80145,                 0.9262,                0.88706,                0.59035,                0.71494,                0.72167,                 0.6083,                0.76354,                 1.2523,                0.85348,             0.00065477,             0.00065477,             0.00065477
                     15,                0.76888,                0.87378,                0.88507,                0.59148,                0.72171,                0.72184,                0.62744,                0.75456,                 1.1299,                0.85858,             0.00065703,             0.00065703,             0.00065703
